	06:47 PM 08/06/2023
Dataset directory: ../../../xlsx_resources/for_trainings/Book5.xlsx
Scheduled Learning: True
Learning rate: 0.0002
Min learning rate 1e-06
Dropout: 0.1
Weight decay: 0.0001
Patience: 16
Number of running epochs: 4000
Validate after every 20th epoch
MSE Reduction: mean
Train-Validation-Test ratio: 0.65-0.2-0.15
Number of train - validation - test samples: 1428 - 439 - 332
Train batch size: 18
Validation batch size: 4
Max length token: 256
Model name: bert-base-uncased
Running log location: saved_logs/bert_based_uncased_run_logs/running_iteration_7.txt
Model location: saved_models/bert_based_uncased_models_iteration_7/
_______________________________________________________________________________________

Epoch [64/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 2.0000000000000003e-06
Epoch [65/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 2.0000000000000003e-06
Epoch [66/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 2.0000000000000003e-06
Epoch [67/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 2.0000000000000003e-06
Epoch [68/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 2.0000000000000003e-06
Epoch [69/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 2.0000000000000003e-06
Epoch [70/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 2.0000000000000003e-06
Epoch [71/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 2.0000000000000003e-06
Epoch [72/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 2.0000000000000003e-06
Epoch [73/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
Epoch [74/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [75/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
